Name,Id,Circle,Description,STPL Site ID,Site Name,Type of Site,Lat as per records,Long records,Actual Latitude,Actual Longitude,Site Status,EB Connection,Fire Extinguisher Available,EMF Sticker IP,EMF Sticker Pole,Pole Type,Pole height,Pedestal Qty,Cable Tray,Safety Railing,Earthing Electrical Equipment,Earthing to Pole,LA,Tenants,Rectifier Make,RM rating in Watts,Working RM Qty at Site,Not Working RM Qty at Site,Total RM Qty at site,No. of Power Plant/ SMPS at Site,Make Power Plant,PP Capacity (KW),"Power Plant ""I"" Serial Number",Remarks,Make Power Plant,PP Capacity (KW) (site_survey_checklist_pp_capacity_kw_2),"Power Plant ""I"" Serial Number (site_survey_checklist_power_plant_i_serial_number_2)",Remarks (site_survey_checklist_remarks_2),Total Capacity of  BBs at Site (Sum of Capacity of all BBs) (AH),Total No. of BBs at Site (Count),Type (VRLA / Li-Ion),Make-Bty Bank,"BB ""I"" Serial No",Capacity (AH),Remarks (site_survey_checklist_remarks_1),Type (VRLA / Li-Ion) (site_survey_checklist_type_vrla_li_ion_2),Make-Bty Bank (site_survey_checklist_make_bty_bank_2),"BB ""I"" Serial No (site_survey_checklist_bb_i_serial_no_2)",Capacity (AH) (site_survey_checklist_capacity_ah_2),Remarks bty,Type (VRLA / Li-Ion) (site_survey_checklist_type_vrla_li_ion_3),Make-Bty Bank (site_survey_checklist_make_bty_bank_3),"BB ""I"" Serial No (site_survey_checklist_bb_i_serial_no_3)",Capacity (AH) (site_survey_checklist_capacity_ah_3),Remarks (site_survey_checklist_remarks_3),Type (VRLA / Li-Ion) (site_survey_checklist_type_vrla_li_ion_4),Make-Bty Bank (site_survey_checklist_make_bty_bank_4),"BB ""I"" Serial No (site_survey_checklist_bb_i_serial_no_4)",Capacity (AH) (site_survey_checklist_capacity_ah_4),Remarks (site_survey_checklist_remarks_4),Cluster,Total DC Load,Tower Type,Tower Height (GBT / RTT / RTP),Name of Operator,Operator Status,Equipment type,City,No. of RF/GSM Antenna,RF antennae Band : (Single /Dual/Tri/Multi/900 Mhz/1800 Mhz),Height of antenna (in mtrs),No. of RRU/ RRH,RRU Make & Model,RRU Rated power (KW),RRU Weight (Kg),No. of MW Antenna,No. of MW Antenna (diameter wise) ---0.3,No. of MW Antenna (diameter wise) --- 0.6,No. of MW Antenna (diameter wise)-----0.8,Height of antenna (mtrs),No. of BBU,BBU Make & Model,BBU Rated Power,BBU Weight,BBU Rack space occupied,BBU,No. of MIMO,Weight of MIMO,Total Rated Power of Equipment (in KW),Total Power Load Consumed by Operator,No of HPSC Anteenas,Anteena Type,Height of antenna (in mtrs) (site_survey_checklist_height_of_antenna_in_mtrs_3),No. of RRU,RRU Make & Model (site_survey_checklist_rru_make_model),RRU Rated power (KW) (site_survey_checklist_rru_rated_power_kw_1),RRU Weight (Kg) (site_survey_checklist_rru_weight_kg_1),Total Rated Power of Equipment (in KW) (site_survey_checklist_total_rated_power_of_equipment_in_kw_1),Total Power Load Consumed by Operator (site_survey_checklist_total_power_load_consumed_by_operator_1),Location,IS Total No. of BBs at Site -(3),IS Total No. of BBs at Site -(4),CreatedDate,ModifiedDate,CreatedUser,ModifiedUser,Remark,validation_errors,status
e1d3f0e5-3e2d-411e-9612-6863a43669ee,33176ac7-eab0-4914-b732-60be9690bc6b,m&g,,,bankarwasti,OD,18.6679,73.8477,18.6679476,73.8477097,Operation,Own,No,No,No,Three Leg,6,4,na,na,ok,ok,na,1,intelux,4000,1,0,1,One,intelux,12,2040005,ok,,,,,2,2 Battery Bank,Li-Ion,intelux,200,200,200,Li-Ion,intelux,0,100,100,,,,,,,,,,,pune,60,RTT,6,vil,Anchor,Floor,pcmc pune,3,Dual,4,1,na,0,0,1,0,0,0,3,2,intelux,200,0,4U,BBU in  Cabinet,0,0,0,45,4,Integrated,4,5,na,0,0,0,45,"{
  ""type"": ""Point"",
  ""coordinates"": [
    73.8477097,
    18.6679476
  ]
}",No,,01/08/2026 10:03:26,01/08/2026 10:03:27,yogesh_naykodi_st,yogesh_naykodi_st,,site id blank,Invalid
1d5801a3-fd36-45b3-85c0-bee02d3e2830,3f5672fb-fd25-4444-9b91-aa765201ff3c,HCQCHM_SITE_SURVEY_CHECKLIST,,,,,,,,,Not Operational,Submeter,Yes,Yes,Yes,Single,6868,5725,dtdd,dtd,dyddy,tddtd,dy,uufug,fyyffy,868668,53335,535335,457557,3,bbb,999,999,hh,nnn,9494,4949,bsbsb,9494,3 Battery Bank,Li-Ion,hah,4949,94949,bshb,Li-Ion,hehe,94949,94949,bsbbs,,,,,,,,,,,,8,RTP,8238,bsbab,Sharer,Floor,,94616,Multi,64646,94,vsbs,9494,9494,94949,94949,94949,949,55,555,fff,8585,838,6U,BBU in  Cabinet,333,8686,82,2525,823838,Directional,586,88558,vtvyygvy,5050,660,866,ggfn,,No,,06/13/2025 06:45:30,06/13/2025 06:45:30,test_st,test_st,,site id blank; site name blank,Invalid
