name,id,circle,description,stpl site id,site name,type of site,lat as per records,long records,actual latitude,actual longitude,site status,eb connection,fire extinguisher available,emf sticker ip,emf sticker pole,pole type,pole height,pedestal qty,cable tray,safety railing,earthing electrical equipment,earthing to pole,la,tenants,rectifier make,rm rating in watts,working rm qty at site,not working rm qty at site,total rm qty at site,no. of power plant/ smps at site,make power plant,pp capacity (kw),"power plant ""i"" serial number",remarks,make power plant,pp capacity (kw) (site survey checklist pp capacity kw 2),"power plant ""i"" serial number (site survey checklist power plant i serial number 2)",remarks (site survey checklist remarks 2),total capacity of bbs at site (sum of capacity of all bbs) (ah),total no. of bbs at site (count),type (vrla / li ion),make bty bank,"bb ""i"" serial no",capacity (ah),remarks (site survey checklist remarks 1),type (vrla / li ion) (site survey checklist type vrla li ion 2),make bty bank (site survey checklist make bty bank 2),"bb ""i"" serial no (site survey checklist bb i serial no 2)",capacity (ah) (site survey checklist capacity ah 2),remarks bty,type (vrla / li ion) (site survey checklist type vrla li ion 3),make bty bank (site survey checklist make bty bank 3),"bb ""i"" serial no (site survey checklist bb i serial no 3)",capacity (ah) (site survey checklist capacity ah 3),remarks (site survey checklist remarks 3),type (vrla / li ion) (site survey checklist type vrla li ion 4),make bty bank (site survey checklist make bty bank 4),"bb ""i"" serial no (site survey checklist bb i serial no 4)",capacity (ah) (site survey checklist capacity ah 4),remarks (site survey checklist remarks 4),cluster,total dc load,tower type,tower height (gbt / rtt / rtp),name of operator,operator status,equipment type,city,no. of rf/gsm antenna,rf antennae band : (single /dual/tri/multi/900 mhz/1800 mhz),height of antenna (in mtrs),no. of rru/ rrh,rru make & model,rru rated power (kw),rru weight (kg),no. of mw antenna,no. of mw antenna (diameter wise) 0.3,no. of mw antenna (diameter wise) 0.6,no. of mw antenna (diameter wise) 0.8,height of antenna (mtrs),no. of bbu,bbu make & model,bbu rated power,bbu weight,bbu rack space occupied,bbu,no. of mimo,weight of mimo,total rated power of equipment (in kw),total power load consumed by operator,no of hpsc anteenas,anteena type,height of antenna (in mtrs) (site survey checklist height of antenna in mtrs 3),no. of rru,rru make & model (site survey checklist rru make model),rru rated power (kw) (site survey checklist rru rated power kw 1),rru weight (kg) (site survey checklist rru weight kg 1),total rated power of equipment (in kw) (site survey checklist total rated power of equipment in kw 1),total power load consumed by operator (site survey checklist total power load consumed by operator 1),location,is total no. of bbs at site (3),is total no. of bbs at site (4),createddate,modifieddate,createduser,modifieduser,remark,validation_errors,status
e1d3f0e5-3e2d-411e-9612-6863a43669ee,33176ac7-eab0-4914-b732-60be9690bc6b,m&g,,,bankarwasti,OD,18.6679,73.8477,18.6679476,73.8477097,Operation,Own,No,No,No,Three Leg,6,4,na,na,ok,ok,na,1,intelux,4000,1,0,1,One,intelux,12,2040005,ok,,,,,2,2 Battery Bank,Li-Ion,intelux,200,200,200,Li-Ion,intelux,0,100,100,,,,,,,,,,,pune,60,RTT,6,vil,Anchor,Floor,pcmc pune,3,Dual,4,1,na,0,0,1,0,0,0,3,2,intelux,200,0,4U,BBU in  Cabinet,0,0,0,45,4,Integrated,4,5,na,0,0,0,45,"{
  ""type"": ""Point"",
  ""coordinates"": [
    73.8477097,
    18.6679476
  ]
}",No,,01/08/2026 10:03:26,01/08/2026 10:03:27,yogesh_naykodi_st,yogesh_naykodi_st,,site id missing,invalid
1d5801a3-fd36-45b3-85c0-bee02d3e2830,3f5672fb-fd25-4444-9b91-aa765201ff3c,HCQCHM_SITE_SURVEY_CHECKLIST,,,,,,,,,Not Operational,Submeter,Yes,Yes,Yes,Single,6868,5725,dtdd,dtd,dyddy,tddtd,dy,uufug,fyyffy,868668,53335,535335,457557,3,bbb,999,999,hh,nnn,9494,4949,bsbsb,9494,3 Battery Bank,Li-Ion,hah,4949,94949,bshb,Li-Ion,hehe,94949,94949,bsbbs,,,,,,,,,,,,8,RTP,8238,bsbab,Sharer,Floor,,94616,Multi,64646,94,vsbs,9494,9494,94949,94949,94949,949,55,555,fff,8585,838,6U,BBU in  Cabinet,333,8686,82,2525,823838,Directional,586,88558,vtvyygvy,5050,660,866,ggfn,,No,,06/13/2025 06:45:30,06/13/2025 06:45:30,test_st,test_st,,site id missing; invalid latitude; invalid longitude; city missing; site name missing; site type missing,invalid
